row_id,candidate_number,candidate_pattern,candidate_query,status,formatted_address,lat,lng,place_id,partial_match,location_type,candidate_score,candidate_reasons
MT_0043,2,unit_muni_uf,"Hospital Municipal Osnir Bortolini, Itiquira - MT, Brasil",OK,"Av. Treze de Maio, 500 - CENTRO, Itiquira - MT, 78790-000, Brasil",-17.2036007,-54.1467109,ChIJH1eGgmFXeZMR_j8KQuIYaQk,false,ROOFTOP,175,in_brazil +50; state_match(MT) +40; muni_in_fa +30; loc_type=ROOFTOP +40; specific_fa +15
MT_0043,3,addr_muni_state,"Avenida 13 e maio,500-Centro, Itiquira, MATO GROSSO, Brasil",OK,"Itiquira, MT, 78790-000, Brasil",-17.2058819,-54.1468881,ChIJ685XJWxXeZMRyr3MYYYNSYo,true,APPROXIMATE,95,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5
MT_0043,4,unit_addr_muni_state,"Hospital Municipal Osnir Bortolini, Avenida 13 e maio,500-Centro, Itiquira, MATO GROSSO, Brasil",OK,"Centro Norte, Várzea Grande - MT, Brasil",-15.6463035,-56.1294025,ChIJr_v-neutnZMRIIvb7_q11B8,true,APPROXIMATE,-5,in_brazil +50; state_match(MT) +40; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; reused_place_id -50; partial+non_rooftop -5
MT_0048,1,unit_muni_state,"Hospital Municipal de Juruena Renilda de Fátima de Morais, Juruena, MATO GROSSO, Brasil",OK,"Travessa Lucinda Kniess, 20 - Centro, Juruena - MT, 78340-000, Brasil",-10.3256243,-58.49373120000001,ChIJZS_nIXYCspMRf-YzqniQdKQ,true,ROOFTOP,175,in_brazil +50; state_match(MT) +40; muni_in_fa +30; loc_type=ROOFTOP +40; specific_fa +15
MT_0048,2,unit_muni_uf,"Hospital Municipal de Juruena Renilda de Fátima de Morais, Juruena - MT, Brasil",OK,"Travessa Lucinda Kniess, 20 - Centro, Juruena - MT, 78340-000, Brasil",-10.3256243,-58.49373120000001,ChIJZS_nIXYCspMRf-YzqniQdKQ,true,ROOFTOP,175,in_brazil +50; state_match(MT) +40; muni_in_fa +30; loc_type=ROOFTOP +40; specific_fa +15
MT_0048,3,addr_muni_state,"Travessa Lucinda Kniess, Nº 20, Centro, Juruena, MATO GROSSO, Brasil",OK,"Juruena, MT, 78340-000, Brasil",-10.3280971,-58.4943453,ChIJL1IsGwcArpMRd8e71Rmlp58,true,APPROXIMATE,95,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=APPROXIMATE +5; specific_fa +15; partial+non_rooftop -5
MT_0048,4,unit_addr_muni_state,"Hospital Municipal de Juruena Renilda de Fátima de Morais, Travessa Lucinda Kniess, Nº 20, Centro, Juruena, MATO GROSSO, Brasil",OK,"Centro Norte, Várzea Grande - MT, Brasil",-15.6463035,-56.1294025,ChIJr_v-neutnZMRIIvb7_q11B8,true,APPROXIMATE,-5,in_brazil +50; state_match(MT) +40; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; reused_place_id -50; partial+non_rooftop -5
MT_0053,1,unit_muni_state,"Hospital Municipal, Matupá, MATO GROSSO, Brasil",OK,"Matupá - MT, Brasil",-10.1701541,-54.9255998,ChIJCyXeSA0vB5MRdYkTQgNJVB8,true,APPROXIMATE,105,in_brazil +50; state_match(MT) +40; muni_in_fa +30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5
MT_0053,2,unit_muni_uf,"Hospital Municipal, Matupá - MT, Brasil",OK,"Matupá - MT, Brasil",-10.1701541,-54.9255998,ChIJCyXeSA0vB5MRdYkTQgNJVB8,true,APPROXIMATE,105,in_brazil +50; state_match(MT) +40; muni_in_fa +30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5
MT_0053,3,addr_muni_state,"Rua 01, n.º 24-Centro, Matupá, MATO GROSSO, Brasil",OK,"Centro Norte, Várzea Grande - MT, Brasil",-15.6463035,-56.1294025,ChIJr_v-neutnZMRIIvb7_q11B8,true,APPROXIMATE,-5,in_brazil +50; state_match(MT) +40; muni_not_in_fa -30; loc_type=APPROXIMATE +5; generic_fa -15; reused_place_id -50; partial+non_rooftop -5
