row_id,source_state_abbr,municipality,health_unit_name,old_formatted_address,old_lat,old_lng,old_place_id,old_score,old_review_reasons,best_candidate_pattern,best_candidate_query,best_formatted_address,best_lat,best_lng,best_place_id,best_partial_match,best_location_type,best_candidate_score,best_candidate_reasons,score_delta,repair_outcome
BA_0220,BA,Senhor do Bonfim,Hospital Dr. Antonio Monteiro,"Hospital Dom Antonio Monteiro - Praça Duque de Caxias, 172 - Centro, Sr. do Bonfim - BA, 48970-000, Brasil",-10.4614286,-40.1832353,ChIJj-RnVlRYbQcRMUOkc3wmH68,115,,addr_muni_state,"Praça Duque de Caxias, 172 – Centro, Senhor do Bonfim, BAHIA, Brasil","Hospital Dom Antonio Monteiro - Praça Duque de Caxias, 172 - Centro, Sr. do Bonfim - BA, 48970-000, Brasil",-10.4617027,-40.1831754,ChIJUQmx_lRYbQcR8TAivFPpn-0,false,GEOMETRIC_CENTER,95,in_brazil +50; state_match(BA) +40; muni_not_in_fa -30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15,-20,unchanged_bad
CE_0022,CE,Irapuã Pinheiro,Hospital Municipal São Bernardo,"Dep. Irapuan Pinheiro - CE, 63645-000, Brasil",-5.9180899,-39.2669146,ChIJmS7bfgXXvAcRJpfyfAt7KMY,45,,unit_muni_state,"Hospital Municipal São Bernardo, Irapuã Pinheiro, CEARÁ, Brasil","Rua José Josué Costa, s/n - Dep. Irapuan Pinheiro, CE, 63645-000, Brasil",-5.916556099999999,-39.2655129,ChIJDewgRF3XvAcRRoqYbbm2eTs,false,ROOFTOP,75,in_brazil +50; state_unknown; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,30,improved_but_still_review
CE_0041,CE,Senador Pompeu,Hospital e Maternidade Santa Isabel,"Av. Joaquim Ferreira de Magalhães, 997 - Centro, Sen. Pompeu - CE, 63600-000, Brasil",-5.5931044,-39.3765445,ChIJCYhvda8DvQcR3u5xebxy2oQ,115,,unit_muni_state,"Hospital e Maternidade Santa Isabel, Senador Pompeu, CEARÁ, Brasil","Av. Joaquim Ferreira de Magalhães, 997 - Centro, Sen. Pompeu - CE, 63600-000, Brasil",-5.5931044,-39.3765445,ChIJCYhvda8DvQcR3u5xebxy2oQ,false,ROOFTOP,115,in_brazil +50; state_match(CE) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
DF_0001,DF,Brasília - Asa Norte,Hospital Regional da Asa Norte - HRAN,"1310 - SMHN Q 2 - Asa Norte, Brasília - DF, 70740-610, Brasil",-15.7850532,-47.8827527,ChIJV7jJ9P06WpMRAr0rqJg4J1s,115,,unit_muni_state,"Hospital Regional da Asa Norte - HRAN, Brasília - Asa Norte, DISTRITO FEDERAL, Brasil","1310 - SMHN Q 2 - Asa Norte, Brasília - DF, 70740-610, Brasil",-15.7850532,-47.8827527,ChIJV7jJ9P06WpMRAr0rqJg4J1s,true,ROOFTOP,115,in_brazil +50; state_match(DF) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
DF_0002,DF,Brasília - Asa Sul,Hospital Materno Infantil de Brasília - HMIB,"Av. L2 Sul - SGAS II Quadra 608 Módulo A - Asa Sul, Brasília - DF, 70203-900, Brasil",-15.8238787,-47.8970194,ChIJW-eUhzMlWpMRLDb7ev-W02I,115,,unit_muni_state,"Hospital Materno Infantil de Brasília - HMIB, Brasília - Asa Sul, DISTRITO FEDERAL, Brasil","Av. L2 Sul - SGAS II Quadra 608 Módulo A - Asa Sul, Brasília - DF, 70203-900, Brasil",-15.8238787,-47.8970194,ChIJW-eUhzMlWpMRLDb7ev-W02I,true,ROOFTOP,115,in_brazil +50; state_match(DF) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
ES_0047,ES,Presidente Kennedy,Pronto Atendimento Municipal de Presidente Kennedy - PAM,"R. Sebastião Vieira Menezes, 100 - CENTRO, Pres. Kennedy - ES, 29350-000, Brasil",-21.1011228,-41.04506749999999,ChIJVeW_pw5MuQAR2E23pcU2d50,115,,unit_muni_state,"Pronto Atendimento Municipal de Presidente Kennedy - PAM, Presidente Kennedy, ESPÍRITO SANTO, Brasil","R. Sebastião Vieira Menezes, 100 - CENTRO, Pres. Kennedy - ES, 29350-000, Brasil",-21.1011228,-41.04506749999999,ChIJVeW_pw5MuQAR2E23pcU2d50,true,ROOFTOP,115,in_brazil +50; state_match(ES) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
GO_0068,GO,Planaltina de Goiás,Hospital Municipal Materno Infantil Santa Rita de Cassia,"Av. Pedro Ludovico, 108 - Leste, Planaltina - GO, 73752-418, Brasil",-15.4617351,-47.6033576,ChIJo3-40xxwWpMRHnm83kIKiL4,115,,unit_muni_state,"Hospital Municipal Materno Infantil Santa Rita de Cassia, Planaltina de Goiás, GOIÁS, Brasil","Av. Pedro Ludovico, 108 - Leste, Planaltina - GO, 73752-418, Brasil",-15.4617351,-47.6033576,ChIJo3-40xxwWpMRHnm83kIKiL4,false,ROOFTOP,115,in_brazil +50; state_match(GO) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
GO_0077,GO,São Domingos,Hospital Municipal de São Domingos,"St. Sao Sebastiao, Trindade - GO, 75389-857, Brasil",-16.6821241,-49.4733236,ChIJA8_k37NdXpMRoNa_E7gR1Ss,75,,unit_addr_muni_state,"Hospital Municipal de São Domingos, Rua Pedro Matias dos Santos, Qd 10, Lt 01-04 - Setor São Sebastião, São Domingos, GOIÁS, Brasil","R. Pedro Matias dos Santos, 89 - 1, São Domingos - GO, 73860-000, Brasil",-13.4101433,-46.3018149,ChIJlRPbl-2lTpMRinT6HnbZld0,true,ROOFTOP,175,in_brazil +50; state_match(GO) +40; muni_in_fa +30; loc_type=ROOFTOP +40; specific_fa +15,100,improved_confidently
MA_0020,MA,BARÃO DE GRAJAU,Hospital Municipal Barjonas Lobão,"BR-230, KM 4,5 S/N - SETOR INDUSTRIAL, Balsas - MA, 65800-000, Brasil",-7.519913099999998,-46.0533672,ChIJq922hH7v1ZIRqlvUMJyWpAk,115,,addr_muni_state,"Avenida BR 230 KM 04, S/N Centro, BARÃO DE GRAJAU, MARANHÃO, Brasil","BR-230, KM 4,5 S/N - SETOR INDUSTRIAL, Balsas - MA, 65800-000, Brasil",-7.519913099999998,-46.0533672,ChIJq922hH7v1ZIRqlvUMJyWpAk,false,ROOFTOP,115,in_brazil +50; state_match(MA) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
MA_0043,MA,CONCEIÇÃO DO LAGO AÇU,Hospital Municipal Manoel Melo de Matos,"AVENIDA PRINCIPAL, S/N - CENTRO, Conceição do Lago-Açu - MA, 65340-000, Brasil",-3.840543,-44.8960686,ChIJc3M-FY2YigcRpVEN-P68ekE,115,,unit_muni_state,"Hospital Municipal Manoel Melo de Matos, CONCEIÇÃO DO LAGO AÇU, MARANHÃO, Brasil","AVENIDA PRINCIPAL, S/N - CENTRO, Conceição do Lago-Açu - MA, 65340-000, Brasil",-3.840543,-44.8960686,ChIJc3M-FY2YigcRpVEN-P68ekE,false,ROOFTOP,115,in_brazil +50; state_match(MA) +40; muni_not_in_fa -30; loc_type=ROOFTOP +40; specific_fa +15,0,unchanged_bad
