row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes,state_clean,municipality_clean,health_unit_name_clean,address_clean,phones_clean,antivenoms_joined,geocode_query,normalization_notes,needs_review_pre_geocode
MT_0002,MT.json,MT,MATO GROSSO,Alta Floresta,Hospital Regional de Saúde - Albert Sabin,"Av. Arosto da Riva, 1933.",(66) 3521-0400,2471345,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Alta Floresta,Hospital Regional de Saúde - Albert Sabin,"Av. Arosto da Riva, 1933.",(66) 3521-0400,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Regional de Saúde - Albert Sabin, Av. Arosto da Riva, 1933., Alta Floresta, MATO GROSSO, Brasil",,false
MT_0003,MT.json,MT,MATO GROSSO,Alto Araguaia,Hospital Municipal de Alto Araguaia,"Rua Severino Botelho de Melo, n.º1118 - centro",(66) 3481-2715,2396998,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Alto Araguaia,Hospital Municipal de Alto Araguaia,"Rua Severino Botelho de Melo, n.º1118 - centro",(66) 3481-2715,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Municipal de Alto Araguaia, Rua Severino Botelho de Melo, n.º1118 - centro, Alto Araguaia, MATO GROSSO, Brasil",,false
MT_0004,MT.json,MT,MATO GROSSO,Alto Boa Vista,Unidade de Saúde da Família Alto da Boa Vista,"Avenida Sebastiana Pereira Passarinho, s/n, Setor Vila Real",(66) 98441-1651,2654679,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Alto Boa Vista,Unidade de Saúde da Família Alto da Boa Vista,"Avenida Sebastiana Pereira Passarinho, s/n, Setor Vila Real",(66) 98441-1651,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Unidade de Saúde da Família Alto da Boa Vista, Avenida Sebastiana Pereira Passarinho, s/n, Setor Vila Real, Alto Boa Vista, MATO GROSSO, Brasil",,false
MT_0005,MT.json,MT,MATO GROSSO,Alto Garças,Unidade de Pronto Atendimento,"Avenida Coronel Cajango, n.º 1399 -centro",(66) 3471-2071,2396335,Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Alto Garças,Unidade de Pronto Atendimento,"Avenida Coronel Cajango, n.º 1399 -centro",(66) 3471-2071,"Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Unidade de Pronto Atendimento, Avenida Coronel Cajango, n.º 1399 -centro, Alto Garças, MATO GROSSO, Brasil",,false
MT_0006,MT.json,MT,MATO GROSSO,Alto Paraguai,Unidade de Pronto Atendimento,"Av. Almirante barroso, s/n. Bairro belavista",(65)992367528,7502664,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Alto Paraguai,Unidade de Pronto Atendimento,"Av. Almirante barroso, s/n. Bairro belavista",(65)992367528,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Unidade de Pronto Atendimento, Av. Almirante barroso, s/n. Bairro belavista, Alto Paraguai, MATO GROSSO, Brasil",,false
MT_0007,MT.json,MT,MATO GROSSO,Alto Taquari,Hospital Municipal,"Rua vereador Martins Cardoso, n.º150 - centro",(66) 3496-1682,2397056,Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Alto Taquari,Hospital Municipal,"Rua vereador Martins Cardoso, n.º150 - centro",(66) 3496-1682,"Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Municipal, Rua vereador Martins Cardoso, n.º150 - centro, Alto Taquari, MATO GROSSO, Brasil",,false
MT_0008,MT.json,MT,MATO GROSSO,Apiacás,Hospital Municipal,"Av. Jaime Campos, N.º 954, Bairro Bom Jesus",(66) 3593-1610,2471590,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Apiacás,Hospital Municipal,"Av. Jaime Campos, N.º 954, Bairro Bom Jesus",(66) 3593-1610,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Municipal, Av. Jaime Campos, N.º 954, Bairro Bom Jesus, Apiacás, MATO GROSSO, Brasil",,false
MT_0009,MT.json,MT,MATO GROSSO,Araguaiana,Unidade de Pronto Atendimento,Rua Travessa da Saúde,(66) 98128-2962,7257155,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Araguaiana,Unidade de Pronto Atendimento,Rua Travessa da Saúde,(66) 98128-2962,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Unidade de Pronto Atendimento, Rua Travessa da Saúde, Araguaiana, MATO GROSSO, Brasil",,false
MT_0010,MT.json,MT,MATO GROSSO,Araguainha,Centro de Saúde José Agostinho de Souza,"Avenida Araguaia, s/n.º centro",(66) 3476-1210,2396238,Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Araguainha,Centro de Saúde José Agostinho de Souza,"Avenida Araguaia, s/n.º centro",(66) 3476-1210,"Escorpiônico, Loxoscelico, Fonêutrico","Centro de Saúde José Agostinho de Souza, Avenida Araguaia, s/n.º centro, Araguainha, MATO GROSSO, Brasil",,false
MT_0011,MT.json,MT,MATO GROSSO,Araputanga,Hospital Geral e Maternidade,"Rua rui Barbosa, 228",(65) 3261-1200,2752611,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Araputanga,Hospital Geral e Maternidade,"Rua rui Barbosa, 228",(65) 3261-1200,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Hospital Geral e Maternidade, Rua rui Barbosa, 228, Araputanga, MATO GROSSO, Brasil",,false
MT_0012,MT.json,MT,MATO GROSSO,Arenápolis,Unidade de Pronto Atendimento,"Rua Glicerio Martins Pinto, 507 - Centro",(65) 99917-7987,7774516,Botrópico|Crotálico|Elapídico|Laquetico|Escorpiônico|Loxoscelico|Fonêutrico,,MATO GROSSO,Arenápolis,Unidade de Pronto Atendimento,"Rua Glicerio Martins Pinto, 507 - Centro",(65) 99917-7987,"Botrópico, Crotálico, Elapídico, Laquetico, Escorpiônico, Loxoscelico, Fonêutrico","Unidade de Pronto Atendimento, Rua Glicerio Martins Pinto, 507 - Centro, Arenápolis, MATO GROSSO, Brasil",,false
