row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes
AM_0004,AM.json,AM,AMAZONAS,Anori,Unidade Hospitalar de Anori - Hospital Darlinda Ribeiro,"Avenida N. Sra. do Perpétuo Socorro, s/n - São Sebastião",(97) 3352-1260,2017379,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0005,AM.json,AM,AMAZONAS,Apuí,Unidade Mista de Apuí - Hospital Eduardo Braga,"Avenida Engº Talles Monte Razo, s/n - Vila Nova",(97) 3389-1219,2013282,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico|Crotálico,
AM_0006,AM.json,AM,AMAZONAS,Atalaia do Norte,Unidade Mista de Atalaia do Norte - Hospital São Sebastião,"Rua Augusto Luzeiro, s/n - Centro",(97) 3417-1115/1152,2016672,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0007,AM.json,AM,AMAZONAS,Atalaia do Norte,1º Pelotão Especial de Fronteira - PEF (Exército-8º BIS),Comunidade de Palmeira do Javari,,,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,military border post; municipality inherited (blank in source)
AM_0008,AM.json,AM,AMAZONAS,Atalaia do Norte,4º Pelotão Especial de Fronteira - PEF (Exército-8º BIS),Comunidade de Estirão do Equador,,,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,military border post; municipality inherited (blank in source)
AM_0009,AM.json,AM,AMAZONAS,Atalaia do Norte,Polo Base Alto Ituí,Comunidade Vida Nova,,7159277,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,indigenous health polo base; municipality inherited (blank in source)
AM_0010,AM.json,AM,AMAZONAS,Atalaia do Norte,Polo Base Médio Curuçá,Comunidade São Sebastião,,7159293,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,indigenous health polo base; municipality inherited (blank in source)
AM_0011,AM.json,AM,AMAZONAS,Autazes,Unidade Mista de Autazes,"Rua Francisco Barroncas, s/n - Centro",(92) 3317-1231/1335,2013045,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0012,AM.json,AM,AMAZONAS,Barcelos,Unidade Mista de Barcelos,"Rua Dorval Porto, 1136 - Centro",(97) 3321-1122,2015242,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0013,AM.json,AM,AMAZONAS,Barreirinha,Unidade Mista de Barreirinha,"Rua Terra Preta do Castanhal, s/n - São Judas Tadeu",(92) 3531-8125/7059,2012022,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0014,AM.json,AM,AMAZONAS,Barreirinha,Polo Base Araticum,Rio Andirá,,7406150,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,indigenous health polo base; municipality inherited (blank in source)
AM_0015,AM.json,AM,AMAZONAS,Benjamin Constant,Hospital Geral Dr. Melvino de Jesus,"Rua 13 de Maio, 1492 - Coimbra",(97) 3415-5246/6240,2016974,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0016,AM.json,AM,AMAZONAS,Beruri,Hospital Antonio Ferreira Campos,"Avenida Costa e Silva, s/n - São Francisco",(97) 3351-1142,2016605,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0017,AM.json,AM,AMAZONAS,Boa Vista do Ramos,Unidade Mista de Boa Vista do Ramos,"Estrada Presidente Figueiredo, s/n - Centro",(97) 3545-5158/7179,2016354,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0018,AM.json,AM,AMAZONAS,Boca do Acre,Unidade Hospitalar de Boca do Acre,"Rua Coronel José Assunção, s/n - Plator do Piquiá",(97) 3451-2157,2012499,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0019,AM.json,AM,AMAZONAS,Borba,Hospital Vó Mundoca,"Rua Silverino Nery, s/n - Centro",(92) 3512-1526/1104,2012383,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0020,AM.json,AM,AMAZONAS,Caapiranga,Unidade Hospitalar Odilon Alves de Araújo,"Rua Félix Amorim, s/n - Santa Luzia",(92) 3364-1040,2016656,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0021,AM.json,AM,AMAZONAS,Canutama,Hospital Regional de Canutama Dr. Leonardo Parente,"Avenida Botinelly, 213 - Centro",(97) 3334-1337/1068,2016419,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0022,AM.json,AM,AMAZONAS,Carauari,Hospital Unidade Mista de Carauari,"Rua Celino de Menezes, 1672 - Nova República",(97) 3491-1116/1350,2017555,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0023,AM.json,AM,AMAZONAS,Careiro Castanho,Hospital Deoclécio dos Santos,BR 319 Km 102 - Centro,(92) 3362-1092/1137,2017652,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0024,AM.json,AM,AMAZONAS,Careiro da Várzea,Unidade Hospitalar de Careiro da Várzea,"Rua Walmir Bezerra, Centro",,2016915,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,phone not provided
AM_0025,AM.json,AM,AMAZONAS,Coari,Hospital Regional de Coari Dr. Odair Carlos Geraldo,"Estrada Coari-Mamiá, 490 - Espírito Santo",(97) 3561-4141,2018136,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0026,AM.json,AM,AMAZONAS,Codajás,Hospital João da Silva Bastos,"Rua Padre Domingos, s/n - Santa Luzia",(97) 3353-0090,2019523,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0027,AM.json,AM,AMAZONAS,Eirunepé,Unidade Hospitalar de Eirunepé,"Rua Padre Hosphel, 1181 - Nossa Senhora Aparecida",(97) 3481-1428/3198,2016397,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0028,AM.json,AM,AMAZONAS,Envira,Unidade Hospitalar Evaristo Rates da Silva,"Rua 27 de julho, 306 - São Francisco",(97) 3483-1045,2708892,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0029,AM.json,AM,AMAZONAS,Fonte Boa,Hospital Regional de Fonte Boa,"Rua Ajuricaba, s/n - Centro",(97) 3423-1690,2017717,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0030,AM.json,AM,AMAZONAS,Guajará,Hospital João Miguel da Cruz Barbosa,"Rua Presidente Vargas, s/n - Centro",(97) 3485-1148,2017997,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0031,AM.json,AM,AMAZONAS,Humaitá,Hospital Dra. Luiza da Conceição Fernandes,"Rua 05 de setembro, 522 - Centro",(97) 3373-2190/1104,2017016,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico|Crotálico,
AM_0032,AM.json,AM,AMAZONAS,Ipixuna,Unidade Hospitalar de Ipixuna,"Avenida João Hercules Primo, s/n - Torre",(97) 3482-1073/1067,2013614,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0033,AM.json,AM,AMAZONAS,Iranduba,Hospital Hilda Freire,"Travessa Juruá, s/n - Centro",(92) 3367-2302/2107,2012839,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0034,AM.json,AM,AMAZONAS,Itacoatiara,Hospital Regional José Mendes,"Rua Castro Leite, 2593 - Iraci",(92) 3521-4215/4220,2016923,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0035,AM.json,AM,AMAZONAS,Itamarati,Unidade Hospitalar Antonio de Souza Brito,"Rua Major Maia, s/n - Centro",(97) 3484-1072,2013568,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0036,AM.json,AM,AMAZONAS,Itapiranga,Hospital Miguel Batista de Oliveira,"Rua Bárbara Miranda, s/n - Centro",(92) 3575-2112,2708906,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0037,AM.json,AM,AMAZONAS,Japurá,Hospital Mayara Redman A. Aziz,"Avenida Juscelino Kubtscheck, s/n - Centro",(97) 3426-1195,2013495,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0038,AM.json,AM,AMAZONAS,Japurá,3º Pelotão Especial de Fronteira do Exército – PEF (Exército 8º BIS),Comunidade Vila Bitencourt,,,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,military border post; municipality inherited (blank in source)
AM_0039,AM.json,AM,AMAZONAS,Juruá,Unidade Mista de Juruá,"Rua Samuel Amaral, 13 - Centro",(97) 3427-1109,2708914,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0040,AM.json,AM,AMAZONAS,Jutaí,Unidade Hospitalar de Jutaí,"Rua 7 de março, s/n - Centro",(97) 3425-1132,2011875,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0041,AM.json,AM,AMAZONAS,Jutaí,Polo Base Boca do Biá,Comunidade Boca do Biá,,7340923,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,indigenous health polo base; municipality inherited (blank in source)
AM_0042,AM.json,AM,AMAZONAS,Lábrea,Unidade Mista de Lábrea,"Rua Coronel Luiz Gomes, s/n - Centro",(97) 3331-1465,2012618,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico|Crotálico,
AM_0043,AM.json,AM,AMAZONAS,Lábrea,Polo Base Crispim,Terra Indígena Lago Mahara,,9425578,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,indigenous health polo base; municipality inherited (blank in source)
AM_0044,AM.json,AM,AMAZONAS,Lábrea,Polo Base Marrecão,Aldeia Marrecão T I Deni,,9472878,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,indigenous health polo base; municipality inherited (blank in source)
AM_0045,AM.json,AM,AMAZONAS,Manacapuru,Hospital Regional de Manacapuru Lázaro Reis,Estrada Manoel Urbano - KM 83 - São José,(92) 3361-1907,2013258,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico|Lonômico,
AM_0046,AM.json,AM,AMAZONAS,Manaquiri,Hospital Raimundo Rodrigues Irmãos,"Rua Bom Pastor, s/n - Centro",(92) 3363-1323,2011891,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico,
AM_0047,AM.json,AM,AMAZONAS,Manaus,Fundação de Medicina Tropical,"Avenida Pedro Teixeira, 25 - Dom Pedro I",(92) 2127-3471,2013606,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico|Elapídico|Lonômico|Crotálico,
